Cliente,Nombre_del_cliente,Ultima_fecha_de_compra,Longitud,Latitud,Monto_Compra_anual,Moneda
127295-001,CLIENTE 127295,46142,-76.997501999999997,-12.061914,176140.79999999999,S/
127296-001,CLIENTE 127296,46142,-77.025581000000003,-12.023096000000001,122496,S/
127297-001,CLIENTE 127297,46141,-76.980851999999999,-12.04945,225350.39999999999,S/
127298-001,CLIENTE 127298,1,-76.935346999999993,-11.990997999999999,0,S/
127299-001,CLIENTE 127299,46141,-76.903030999999999,-11.993893999999999,220774.39999999999,S/
127300-001,CLIENTE 127300,46144,-76.941244999999995,-12.024563000000001,263894.40000000002,S/
127302-001,CLIENTE 127302,46142,-77.002295000000004,-12.057807,180576,S/
127286-001,CLIENTE 127286,46140,-76.887998999999994,-12.029809,147030.39999999999,S/
127287-001,CLIENTE 127287,1,-76.941215,-12.024592,0,S/
127288-001,CLIENTE 127288,46133,-76.959809000000007,-12.046314000000001,708505.59999999998,S/
127289-001,CLIENTE 127289,46140,-76.921646999999993,-12.02556,139568,S/
127290-001,CLIENTE 127290,46144,-76.969589999999997,-12.04053,202857.60000000001,S/
127291-001,CLIENTE 127291,46136,-76.967937000000006,-12.041807,300502.40000000002,S/
127292-001,CLIENTE 127292,46142,-77.003433000000001,-12.060090000000001,108627.2,S/
127277-001,CLIENTE 127277,46144,-76.946629999999999,-12.02608,387974.40000000002,S/
127278-001,CLIENTE 127278,46144,-76.910526000000004,-12.025834,87296,S/
127281-001,CLIENTE 127281,46142,-77.047471000000002,-12.000253000000001,119363.2,S/
127282-001,CLIENTE 127282,46144,-76.971470999999994,-12.048468,106233.60000000001,S/
127283-001,CLIENTE 127283,46142,-77.052655999999999,-11.976253,308633.59999999998,S/
127284-001,CLIENTE 127284,46140,-76.869844000000001,-12.013678000000001,75116.800000000003,S/
127285-001,CLIENTE 127285,46133,-76.815670999999995,-12.020020000000001,148684.79999999999,S/
127270-001,CLIENTE 127270,46140,-76.822901000000002,-12.007977,82790.399999999994,S/
127271-001,CLIENTE 127271,46126,-76.853215000000006,-12.009641,100179.2,S/
127272-001,CLIENTE 127272,46141,-77.034032999999994,-12.027029000000001,428137.6,S/
127273-001,CLIENTE 127273,46139,-76.998694,-12.025585,237811.20000000001,S/
127274-001,CLIENTE 127274,46139,-76.999025000000003,-12.008946999999999,163750.39999999999,S/
127275-001,CLIENTE 127275,1,-77.004329999999996,-12.028331,0,S/
127276-001,CLIENTE 127276,46136,-76.959497999999996,-12.041369,150022.39999999999,S/
127263-001,CLIENTE 127263,46126,-76.746219999999994,-11.953773,120700.8,S/
127264-001,CLIENTE 127264,46130,-77.062330000000003,-11.986005,267449.59999999998,S/
127265-001,CLIENTE 127265,46137,-77.056144000000003,-11.9876,1790870.4,S/
127266-001,CLIENTE 127266,46125,-76.977429999999998,-11.957732,220844.79999999999,S/
127267-001,CLIENTE 127267,46138,-76.987560999999999,-11.93737,344643.2,S/
127268-001,CLIENTE 127268,1,-76.990765999999994,-11.929809000000001,0,S/
127269-001,CLIENTE 127269,46133,-76.852678999999995,-12.011559999999999,297369.59999999998,S/
127253-001,CLIENTE 127253,46139,-76.989200999999994,-12.025907999999999,155830.39999999999,S/
127254-001,CLIENTE 127254,46142,-77.008486000000005,-12.004695,681190.40000000002,S/
127255-001,CLIENTE 127255,46139,-76.693458000000007,-11.935119,2939904,S/
127257-001,CLIENTE 127257,46142,-77.004490000000004,-12.055149999999999,1051424,S/
127258-001,CLIENTE 127258,1,-76.960047000000003,-11.935449,0,S/
127259-001,CLIENTE 127259,46146,-77.002634999999998,-11.941992000000001,154668.79999999999,S/
127261-001,CLIENTE 127261,46141,-77.004186000000004,-12.052587000000001,226864,S/
127246-001,CLIENTE 127246,46133,-76.666920000000005,-11.921571999999999,74201.600000000006,S/
127247-001,CLIENTE 127247,1,-76.942965000000001,-11.988013,0,S/
127248-001,CLIENTE 127248,1,-76.902088000000006,-12.012832,0,S/
127249-001,CLIENTE 127249,46139,-77.017452000000006,-12.02651,485900.79999999999,S/
127250-001,CLIENTE 127250,46134,-76.994190000000003,-12.03655,202364.79999999999,S/
127251-001,CLIENTE 127251,46128,-76.998722000000001,-12.024067000000001,372134.40000000002,S/
127252-001,CLIENTE 127252,46135,-76.998273999999995,-11.976763,108345.60000000001,S/
123927-001,CLIENTE 123927,1,-12.041112,-77.025390999999999,0,S/
123928-001,CLIENTE 123928,1,-12.041112,-77.025390999999999,0,S/
123930-001,CLIENTE 123930,1,-12.041112,-77.025390999999999,0,S/
123933-001,CLIENTE 123933,1,-12.041112,-77.025390999999999,0,S/
123934-001,CLIENTE 123934,1,-12.041112,-77.025390999999999,0,S/
124071-001,CLIENTE 124071,1,-12.041112,-77.025390999999999,0,S/
124072-001,CLIENTE 124072,1,-12.041112,-77.025390999999999,0,S/
124073-001,CLIENTE 124073,1,-12.041112,-77.025390999999999,0,S/
124074-001,CLIENTE 124074,1,-12.041112,-77.025390999999999,0,S/
124075-001,CLIENTE 124075,1,-12.041112,-77.025390999999999,0,S/
124097-001,CLIENTE 124097,1,-12.041112,-77.025390999999999,0,S/
124098-001,CLIENTE 124098,1,-12.041112,-77.025390999999999,0,S/
124099-001,CLIENTE 124099,1,-12.041112,-77.025390999999999,0,S/
124100-001,CLIENTE 124100,1,-12.041112,-77.025390999999999,0,S/
124101-001,CLIENTE 124101,1,-12.041112,-77.025390999999999,0,S/
123868-001,CLIENTE 123868,1,-12.041112,-77.025390999999999,0,S/
123869-001,CLIENTE 123869,1,-12.041112,-77.025390999999999,0,S/
123870-001,CLIENTE 123870,1,-12.041112,-77.025390999999999,0,S/
123871-001,CLIENTE 123871,1,-12.041112,-77.025390999999999,0,S/
124086-001,CLIENTE 124086,1,-12.041112,-77.025390999999999,0,S/
124087-001,CLIENTE 124087,1,-12.041112,-77.025390999999999,0,S/
124088-001,CLIENTE 124088,1,-12.041112,-77.025390999999999,0,S/
124089-001,CLIENTE 124089,1,-12.041112,-77.025390999999999,0,S/
124090-001,CLIENTE 124090,1,-12.041112,-77.025390999999999,0,S/
022320-001,CLIENTE 022320,46137,-77.039479999999998,-11.971264,116793.60000000001,S/
022323-001,CLIENTE 022323,46142,-77.036929000000001,-11.966265,115491.2,S/
022326-001,CLIENTE 022326,46142,-77.040165999999999,-11.969948,95075.199999999997,S/
022327-001,CLIENTE 022327,46142,-77.039907999999997,-11.971211,324086.40000000002,S/
022340-001,CLIENTE 022340,46137,-77.043149999999997,-11.971800999999999,116300.8,S/
022343-001,CLIENTE 022343,46142,-77.036478000000002,-11.967081,176140.79999999999,S/
022344-001,CLIENTE 022344,46142,-77.040355000000005,-11.969785999999999,122918.39999999999,S/
127167-001,CLIENTE 127167,1,-76.961945999999998,-12.019769,0,S/
127169-001,CLIENTE 127169,46132,-76.978472999999994,-11.956972,86310.399999999994,S/
127170-001,CLIENTE 127170,46138,-77.007429999999999,-11.958729999999999,164278.39999999999,S/
127171-001,CLIENTE 127171,1,-76.978671000000006,-11.938336,0,S/
127172-001,CLIENTE 127172,46132,-76.991658000000001,-11.920906,105670.39999999999,S/
127174-001,CLIENTE 127174,46140,-76.873215000000002,-12.022361,152697.60000000001,S/
127175-001,CLIENTE 127175,46140,-76.827959000000007,-12.008141999999999,271286.40000000002,S/
127159-001,CLIENTE 127159,46144,-76.899910000000006,-12.03989,94054.399999999994,S/
127160-001,CLIENTE 127160,1,-76.894243000000003,-12.014775,0,S/
127161-001,CLIENTE 127161,46144,-76.946534,-12.029475,1254457.6000000001,S/
127163-001,CLIENTE 127163,1,-77.021214000000001,-12.035904,0,S/
127164-001,CLIENTE 127164,1,-77.031599999999997,-12.036822000000001,0,S/
127165-001,CLIENTE 127165,1,-76.973805999999996,-12.065239999999999,0,S/
127166-001,CLIENTE 127166,46142,-77.057406,-12.003729,205180.79999999999,S/
127149-001,CLIENTE 127149,46135,-77.012767999999994,-12.025259,236896,S/
127150-001,CLIENTE 127150,46139,-77.011892000000003,-11.991958,111830.39999999999,S/
127151-001,CLIENTE 127151,1,-77.004990000000006,-11.990508999999999,0,S/
127152-001,CLIENTE 127152,46113,-77.008459999999999,-12.019428,141081.60000000001,S/
127154-001,CLIENTE 127154,46144,-76.959884000000002,-12.037212,176246.39999999999,S/
127156-001,CLIENTE 127156,46144,-76.963488999999996,-12.031435,722022.40000000002,S/
127157-001,CLIENTE 127157,46144,-76.952228000000005,-12.031796,129289.60000000001,S/
127141-001,CLIENTE 127141,46140,-76.769461000000007,-11.975562,898444.80000000005,S/
127143-001,CLIENTE 127143,46127,-76.982927000000004,-12.05264,297369.59999999998,S/
127144-001,CLIENTE 127144,1,-76.934015000000002,-12.013541999999999,0,S/
127145-001,CLIENTE 127145,1,-76.968940000000003,-12.022069,0,S/
127146-001,CLIENTE 127146,46139,-77.018285000000006,-11.979946999999999,73040,S/
127147-001,CLIENTE 127147,46135,-76.996624999999995,-12.007483000000001,235945.60000000001,S/
127148-001,CLIENTE 127148,46139,-77.014858000000004,-12.008402999999999,94617.600000000006,S/
127133-001,CLIENTE 127133,46137,-77.042309000000003,-11.990891,83353.600000000006,S/
127134-001,CLIENTE 127134,46146,-76.987638000000004,-11.946336000000001,263296,S/
127135-001,CLIENTE 127135,46138,-76.979969999999994,-11.936726999999999,396774.40000000002,S/
127136-001,CLIENTE 127136,46146,-76.979371999999998,-11.953423000000001,459324.8,S/
127137-001,CLIENTE 127137,46146,-76.970810999999998,-11.944542,290470.40000000002,S/
127139-001,CLIENTE 127139,46138,-76.990571000000003,-12.027739,861097.6,S/
127140-001,CLIENTE 127140,46144,-76.962271999999999,-12.028584,280720,S/
127122-001,CLIENTE 127122,46141,-76.860344999999995,-12.000393000000001,119222.39999999999,S/
127123-001,CLIENTE 127123,46135,-77.016368999999997,-11.986313000000001,347705.59999999998,S/
127124-001,CLIENTE 127124,46146,-76.983181000000002,-11.961415000000001,563200,S/
127125-001,CLIENTE 127125,46144,-76.695492999999999,-11.93594,556371.19999999995,S/
127126-001,CLIENTE 127126,46135,-77.002437,-12.003752,152979.20000000001,S/
127130-001,CLIENTE 127130,46139,-76.992744000000002,-11.968397,541728,S/
127131-001,CLIENTE 127131,1,-77.055012000000005,-12.003757,0,S/
127114-001,CLIENTE 127114,46138,-76.983422000000004,-11.952552000000001,95075.199999999997,S/
127115-001,CLIENTE 127115,46133,-76.876940000000005,-12.023146000000001,220704,S/
127116-001,CLIENTE 127116,46140,-76.746324000000001,-11.96848,234819.20000000001,S/
127117-001,CLIENTE 127117,46140,-76.825676000000001,-12.016385,98595.199999999997,S/
127118-001,CLIENTE 127118,46133,-76.820753999999994,-12.016553999999999,140448,S/
127119-001,CLIENTE 127119,46133,-76.650411000000005,-11.924087,241824,S/
127120-001,CLIENTE 127120,46140,-76.661893000000006,-11.897919999999999,626700.80000000005,S/
127356-001,CLIENTE 127356,1,-76.984729000000002,-11.954198,0,S/
127357-001,CLIENTE 127357,1,-76.954701,-11.926736,0,S/
127360-001,CLIENTE 127360,46139,-77.001968000000005,-11.998773,213523.20000000001,S/
127361-001,CLIENTE 127361,46139,-76.998534000000006,-11.970559,99264,S/
